Linear scale (close to the optimum):
		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
	_______________________________________________________________________________________
20	|	22.7406	22.9354	23.5079	23.7679	23.1964	23.3923	23.0301	22.7727	22.1242	21.9768	21.447	22.2962	21.7242	21.6748	21.2827	21.6665	20.4375	21.0857	20.8447	19.6501	19.8912	19.5375	20.6536	20.9713	19.3927	20.2936	19.1834	20.3121	19.2214	
21	|	23.3195	22.3211	22.8556	22.2181	22.7197	22.9286	22.6747	22.4376	22.3881	22.2251	21.6836	21.5025	22.1498	21.994	22.1577	22.4109	21.4175	21.3697	21.6623	20.5973	21.1254	21.4259	21.841	21.7204	19.8949	20.2346	19.8179	21.2547	20.2377	
22	|	22.5591	23.1896	22.7032	23.2443	22.6336	23.981	22.4648	22.0501	22.0422	20.4559	21.4441	20.237	20.1497	19.7414	20.8352	20.9354	19.7416	19.9621	18.9574	18.9574	20.5437	18.8736	19.8359	20.2738	18.7889	19.6878	19.6936	19.099	18.8602	
23	|	23.2374	23.7002	23.6267	23.2707	22.3474	23.4718	24.9603	22.5014	24.1835	21.4915	23.8772	21.6361	21.1449	21.4634	21.7403	20.4906	20.6096	22.2189	21.1185	22.3161	20.5896	20.6537	21.1456	20.235	21.179	19.524	19.7359	20.6545	19.9633	
24	|	23.4169	23.2419	23.3394	22.8659	22.8647	22.8993	22.9788	22.4212	22.32	22.1885	20.3748	22.006	20.5131	20.3018	21.2706	21.6034	21.4808	20.573	19.8475	19.9141	20.6246	19.1965	19.7048	19.3423	19.6991	19.3437	18.8869	19.0059	19.9996	
25	|	22.4556	23.9791	22.9304	22.4353	22.6662	22.8133	21.823	22.1284	21.7589	22.1511	21.9722	24.197	21.0635	21.185	20.6394	20.4264	21.056	20.633	21.5341	20.849	21.9316	21.2934	20.2522	21.9139	21.5104	19.5161	19.5683	20.6081	21.3378	
26	|	22.4151	22.8218	22.5515	22.6061	22.641	22.3971	22.7779	21.646	21.3478	21.7223	21.8181	20.874	21.0105	19.6793	21.2553	20.7292	20.1506	20.9029	20.774	20.7992	21.0082	19.4716	18.7054	19.1123	20.3421	19.1459	18.6855	18.54	20.1216	
27	|	21.4469	21.9231	21.1129	20.8138	20.8614	20.4598	20.3894	20.1366	19.8303	20.6637	18.9188	19.5858	20.1094	20.0552	20.07	19.8675	18.8436	18.9321	18.674	20.0113	19.9479	18.4135	19.8391	18.4183	19.3817	19.9074	18.6816	19.2018	18.8388	
28	|	22.11	23.4058	22.7657	22.6512	22.5941	22.5094	22.2534	22.0476	21.1153	20.8754	22.1182	21.5392	20.7393	22.0904	21.4445	21.7749	21.8074	20.164	21.7518	20.6577	21.3606	21.3707	20.9173	20.0632	19.4941	19.9905	19.6675	21.2026	20.2398	
29	|	22.3943	22.2338	23.1154	21.8302	22.4112	20.884	20.9268	19.911	21.3593	21.4717	20.0706	20.9849	20.5791	19.6197	21.0584	19.9197	20.0516	20.5908	20.1827	19.5779	19.9311	19.0602	18.7643	18.5503	19.0957	19.9404	19.1692	18.7148	20.0663	
30	|	21.6912	22.8953	23.1823	23.0318	22.7954	22.7172	21.9832	21.8676	21.6011	21.6764	21.1974	21.1021	19.9974	20.9176	21.5864	19.6165	20.5379	21.0019	19.9554	20.8393	20.8651	18.8285	18.8336	20.5331	18.8348	18.8229	18.786	19.6305	19.9353	
31	|	22.4603	22.4481	22.7373	22.2826	22.5457	22.4093	21.5223	22.1483	21.3225	21.1558	21.2459	21.1158	20.3574	20.8398	20.9781	20.1677	19.2412	19.1042	19.1576	19.1922	19.0233	18.635	19.7623	19.2018	18.8264	20.2279	18.3236	18.2204	18.4397	
32	|	23.6588	23.2322	23.8926	23.3899	22.7784	23.7554	21.5214	22.4554	23.169	21.7669	21.0548	20.7809	21.0192	20.2872	22.1421	21.8865	21.1967	21.6592	21.5513	21.3426	19.64	20.6417	20.9315	21.0073	20.2152	20.2521	20.6444	19.473	20.7653	
