Linear scale (close to the optimum):
		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
	_______________________________________________________________________________________
20	|	22.9741	23.1861	23.2615	23.7067	23.7553	23.5528	23.3202	22.3172	22.7157	22.016	21.1902	22.3603	21.9349	21.7452	21.1889	20.8141	20.0946	21.0466	19.9246	21.4969	21.0836	19.8865	20.2803	19.6483	20.8396	20.2269	20.6466	19.7921	19.0969	
21	|	22.7013	21.9668	22.711	21.8012	22.8365	22.3227	22.5366	23.0409	21.5523	22.628	22.3499	21.6757	21.8276	22.2337	22.2683	22.1095	21.8341	21.0263	21.7143	21.2321	21.6054	21.3583	21.2113	21.2454	20.8293	19.9927	20.3777	20.8671	20.3692	
22	|	23.5828	23.139	23.3169	23.757	23.9351	23.3059	22.8265	22.231	21.4853	20.6541	21.4108	21.0875	21.1885	20.6196	19.7838	20.7469	20.629	20.3851	20.0541	18.8639	19.1657	19.7918	19.0896	20.2749	19.6812	19.8293	19.5919	19.9094	19.1986	
23	|	22.1921	23.5807	22.4602	22.5143	23.5116	23.0513	25.1626	21.519	24.478	21.2847	24.4504	21.8705	21.1242	21.5774	20.6667	21.1057	20.6864	22.4419	21.6809	22.1751	20.5148	21.2985	19.9864	19.9165	20.8863	19.5929	20.0496	19.5049	20.2538	
24	|	22.7772	23.4297	23.2864	23.1168	23.3385	22.5942	22.7195	22.2505	22.4285	22.0298	22.2012	21.8289	21.2287	21.2306	20.9709	21.7945	21.2767	21.3607	21.0808	20.0489	20.014	19.3201	20.513	19.6305	19.498	20.5755	20.3692	19.2488	20.2298	
25	|	23.242	23.4423	23.1337	22.7539	22.3838	23.9799	21.7657	22.6038	21.9577	22.6842	22.1219	24.7752	21.886	20.5628	20.4187	20.2249	21.0246	20.6247	21.7118	21.1459	21.8	21.5485	19.5521	21.7246	21.1042	20.8363	19.5767	20.1734	20.9166	
26	|	22.464	22.7032	22.9694	21.9864	22.6862	22.8697	22.4313	21.6283	21.3757	21.2261	20.92	20.6915	20.3669	20.6014	21.0881	20.3405	21.201	21.0866	19.2185	20.9722	19.403	19.7612	18.9287	19.6206	20.2998	20.4431	18.597	18.7774	19.2763	
27	|	21.9414	21.7408	20.8806	20.3766	20.5458	20.563	20.3346	20.6604	19.9589	19.7902	20.0127	19.7022	19.7136	19.4391	19.9504	18.8672	19.3614	18.7922	18.5768	18.9504	18.9763	19.9017	18.6773	18.5478	19.1349	19.6511	18.2685	19.459	18.9535	
28	|	23.0951	23.3651	23.1194	22.6328	22.7345	22.2344	22.4522	22.3065	22.1808	21.0632	21.9513	21.0538	20.7216	21.9985	21.4818	21.5785	22.1643	21.2719	21.7007	20.7825	20.983	20.4937	21.0752	20.7497	20.6245	20.0929	19.5821	20.7262	19.9765	
29	|	22.312	22.9956	22.4737	21.5647	21.879	20.8655	20.863	20.115	20.8804	20.4792	19.8586	20.7438	20.9285	21.1016	21.2066	20.5152	19.9299	19.8106	18.4477	20.1136	18.6263	19.6747	18.8643	20.0216	18.7042	20.081	18.3998	19.818	18.3696	
30	|	22.4696	23.1021	23.065	22.6974	23.061	22.8881	22.2886	21.7184	21.357	20.5642	21.2732	21.0506	20.9588	21.3622	21.4347	20.9247	20.6064	19.8885	20.655	19.7826	20.6135	20.1223	20.1853	19.2494	20.0866	18.6685	18.728	18.9729	18.5542	
31	|	22.0016	22.14	22.4054	23.0484	21.5924	22.4773	21.997	21.525	20.5914	21.2824	21.1611	21.1149	19.5615	21.2321	19.3145	19.2348	20.7397	20.6793	20.2208	20.0206	18.5217	20.0273	18.1141	18.5397	19.3821	18.556	18.5911	18.4719	18.5297	
32	|	23.4597	22.452	23.6467	22.2553	23.0094	21.8579	21.996	21.1287	22.1589	21.7188	20.7507	21.2129	20.4368	20.914	22.1709	21.556	20.8674	21.1163	21.4501	21.2697	19.2038	20.3675	20.7505	20.3744	19.7892	19.5816	20.7299	19.515	20.2684	
